t build_seconds sweep_seconds
244 6.4999999999999996e-06 6.6042000000000002e-05
245 5.5829999999999997e-06 6.5166999999999995e-05
246 5.7919999999999998e-06 5.9125000000000001e-05
247 5.541e-06 5.8999999999999998e-05
248 5.8329999999999999e-06 5.9750000000000002e-05
249 5.6670000000000001e-06 6.1415999999999996e-05
250 5.6250000000000004e-06 5.4666000000000001e-05
251 5.7080000000000002e-06 5.8832999999999997e-05
252 5.8749999999999997e-06 6.0541999999999997e-05
253 5.9170000000000003e-06 5.7833e-05
254 5.959e-06 6.1458999999999996e-05
255 5.9580000000000004e-06 6.0832999999999998e-05
256 5.9170000000000003e-06 6.2625000000000004e-05
257 6.0419999999999999e-06 6.0541000000000002e-05
258 5.8749999999999997e-06 5.5917e-05
259 5.75e-06 5.7083000000000002e-05
260 5.9580000000000004e-06 5.8332999999999999e-05
261 5.4999999999999999e-06 5.3708000000000001e-05
262 6.0839999999999997e-06 5.9833000000000001e-05
263 6.0000000000000002e-06 6.1375000000000001e-05
264 6.0419999999999999e-06 6.4832999999999994e-05
265 5.8340000000000004e-06 5.9166999999999998e-05
266 5.8340000000000004e-06 6.0541000000000002e-05
267 5.9170000000000003e-06 5.7707999999999997e-05
268 6.0000000000000002e-06 6.2334000000000003e-05
269 5.9580000000000004e-06 6.1542000000000001e-05
270 5.8749999999999997e-06 6.2500000000000001e-05
271 5.8749999999999997e-06 5.7874999999999997e-05
272 5.75e-06 5.9290999999999999e-05
273 5.6670000000000001e-06 5.7958000000000003e-05
274 5.9170000000000003e-06 5.9583000000000002e-05
275 6.0000000000000002e-06 5.7958000000000003e-05
276 5.8749999999999997e-06 5.7917000000000001e-05
277 5.9170000000000003e-06 5.5791000000000002e-05
278 5.8340000000000004e-06 5.4082999999999997e-05
279 6.1670000000000004e-06 6.1333000000000004e-05
280 6.0000000000000002e-06 6.0374999999999997e-05
281 5.8329999999999999e-06 5.5667000000000001e-05
282 5.7080000000000002e-06 6.1875e-05
283 6.1249999999999998e-06 6.2416999999999995e-05
284 6.083e-06 6.0582999999999999e-05
285 5.75e-06 5.3665999999999997e-05
286 5.75e-06 6.6082999999999997e-05
287 6.2500000000000003e-06 7.2083999999999996e-05
288 6.1670000000000004e-06 6.1958999999999994e-05
289 5.8749999999999997e-06 5.6416000000000003e-05
290 5.6250000000000004e-06 5.7750000000000001e-05
291 5.5419999999999996e-06 5.4416999999999998e-05
292 5.4999999999999999e-06 5.6666999999999998e-05
293 5.2909999999999998e-06 6.0791999999999997e-05
294 5.417e-06 6.0250000000000001e-05
295 5.4160000000000003e-06 5.8666999999999999e-05
