t build_seconds sweep_seconds
488 4.2919999999999997e-06 4.5124999999999999e-05
489 4.1659999999999996e-06 4.4125000000000002e-05
490 4.25e-06 4.0874999999999997e-05
491 4.3329999999999998e-06 4.4583999999999999e-05
492 4.2080000000000002e-06 4.3958999999999997e-05
493 4.2089999999999999e-06 4.1458999999999997e-05
494 4.3329999999999998e-06 4.4875e-05
495 4.1659999999999996e-06 4.1291999999999997e-05
496 4.2080000000000002e-06 4.2416999999999997e-05
497 4.1670000000000001e-06 3.8917e-05
498 4.4170000000000002e-06 4.1375000000000003e-05
499 4.1250000000000003e-06 3.8291999999999999e-05
500 4.2089999999999999e-06 4.2208e-05
501 4.3340000000000003e-06 4.35e-05
502 4.2089999999999999e-06 3.9165999999999997e-05
503 4.3340000000000003e-06 4.5915999999999999e-05
504 4.1250000000000003e-06 3.9875e-05
505 4.3329999999999998e-06 4.3250000000000001e-05
506 4.2910000000000001e-06 4.2459000000000001e-05
507 4.3329999999999998e-06 4.2707999999999998e-05
508 4.3340000000000003e-06 4.2125000000000001e-05
509 4.0840000000000002e-06 4.1916000000000003e-05
510 4.3749999999999996e-06 4.1041999999999998e-05
511 4.3749999999999996e-06 3.9334e-05
512 4.459e-06 3.8291000000000003e-05
513 4.2910000000000001e-06 4.2583999999999998e-05
514 4.25e-06 4.3708000000000002e-05
515 4.1670000000000001e-06 4.0083000000000002e-05
516 4.4580000000000003e-06 4.6749999999999998e-05
517 4.5000000000000001e-06 4.3374999999999997e-05
518 4.2919999999999997e-06 4.2500000000000003e-05
519 4.5839999999999996e-06 4.3582999999999999e-05
520 4.4580000000000003e-06 4.2166999999999998e-05
521 4.5000000000000001e-06 4.4125000000000002e-05
522 4.3329999999999998e-06 4.1334000000000001e-05
523 4.459e-06 4.2583999999999998e-05
524 4.2080000000000002e-06 4.1666999999999999e-05
525 4.25e-06 4.0917000000000001e-05
526 4.0419999999999996e-06 3.7625e-05
527 4.5419999999999999e-06 3.7874999999999999e-05
528 4.4170000000000002e-06 3.6417e-05
529 5.4999999999999999e-06 4.3958999999999997e-05
530 4.4159999999999997e-06 4.1916999999999999e-05
531 4.2910000000000001e-06 4.0042e-05
532 4.3749999999999996e-06 4.2209000000000002e-05
533 4.2919999999999997e-06 4.3832999999999999e-05
